issue,category,priority,resolution,success_rate,ticket_count
Remote desktop connection failing,Network,High,"1. Verify VPN connection is active\n2. Confirm target computer is powered on\n3. Check RDP is enabled on target PC\n4. Try connecting via IP address instead of hostname\n5. Check firewall settings allow RDP\n6. Verify credentials are correct",0.87,46
Excel file corrupted cannot open,Software,Medium,"1. Try Open and Repair in Excel\n2. Check for temp files with ~ prefix\n3. Try opening in Excel Online\n4. Use file recovery tool\n5. Restore from backup or OneDrive version history\n6. If critical data contact IT for advanced recovery",0.76,27
Webcam not working in video calls,Hardware,Medium,"1. Check physical webcam privacy shutter is open\n2. Verify webcam permissions in Windows Settings\n3. Close other apps using webcam\n4. Update webcam driver\n5. Test webcam in Camera app to isolate app-specific issue\n6. Try external webcam if built-in faulty",0.89,42
MFA authentication app not working,Account,High,"1. Check phone time is synced correctly\n2. Remove and re-add account in authenticator app\n3. Use backup codes if available\n4. Try different MFA method (SMS or phone call)\n5. Contact IT to reset MFA enrollment",0.90,36
Computer won't wake from sleep,Hardware,Medium,"1. Press power button briefly\n2. Check power settings - disable hybrid sleep\n3. Update chipset and graphics drivers\n4. Disable 'fast startup' in power options\n5. Check for Windows updates\n6. If persistent disable sleep mode",0.83,25
OneDrive not syncing files,Software,Medium,"1. Check OneDrive icon for sync status\n2. Verify internet connection\n3. Pause and resume sync\n4. Check storage quota not exceeded\n5. Reset OneDrive: Settings > Account > Unlink > Re-link\n6. Reinstall OneDrive app",0.88,53
Keyboard keys not working,Hardware,Low,"1. Test keyboard on different computer\n2. Try external keyboard to confirm hardware fault\n3. Check for stuck keys or debris\n4. Update keyboard driver\n5. For laptop keyboard replacement contact IT\n6. Check language/input settings if typing wrong characters",0.81,18
Cannot access company portal,Network,High,"1. Clear browser cache and cookies\n2. Try different browser\n3. Check VPN is connected\n4. Verify URL is correct\n5. Try incognito mode\n6. Check if account is locked\n7. Contact IT if portal is down for maintenance",0.92,44
Antivirus blocking legitimate software,Software,Medium,"1. Verify software is company-approved\n2. Add exception in antivirus settings\n3. Submit false positive report to security team\n4. Use IT-approved workaround if available\n5. Wait for antivirus definition update",0.85,23
Mouse cursor jumping or erratic,Hardware,Low,"1. Clean mouse sensor and surface\n2. Try different mouse pad or surface\n3. Update mouse driver\n4. Test different USB port\n5. Replace mouse batteries if wireless\n6. Try different mouse to confirm hardware issue",0.87,16
Zoom video freezing during meetings,Software,Medium,"1. Close unnecessary applications\n2. Switch from WiFi to ethernet if possible\n3. Lower video quality in Zoom settings\n4. Disable HD video\n5. Update Zoom to latest version\n6. Check network bandwidth with speed test\n7. Restart router",0.80,39
Cannot map network printer,Hardware,Medium,"1. Ensure on company network or VPN\n2. Add printer via \\printserver\printername\n3. Install printer driver from IT portal\n4. Verify printer permissions with IT\n5. Try adding as TCP/IP printer with IP address\n6. Check print server is accessible",0.86,32
Application freezing frequently,Software,Medium,"1. Check if app is up to date\n2. Clear app cache and temp files\n3. Run app as administrator\n4. Check for conflicting software\n5. Increase virtual memory\n6. Reinstall application\n7. Check event viewer for specific errors",0.77,28
